scenario,gradation,year,rho_equicorrelation,psys_gaussian_copula,psys_independent,frechet_lower,frechet_upper,n_sim,status
extreme,constant,0,0.0,0.8967,0.8977860998043178,0.7340833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,10,0.6,0.79888,0.9102328856020157,0.73825,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,10,0.9,0.74756,0.9102328856020157,0.73825,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,12,0.0,0.90298,0.9050569787136766,0.7491666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,12,0.3,0.85032,0.9050569787136766,0.7491666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,12,0.6,0.79918,0.9050569787136766,0.7491666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,12,0.9,0.75124,0.9050569787136766,0.7491666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,14,0.0,0.91354,0.9124501179982396,0.74925,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,14,0.3,0.85978,0.9124501179982396,0.74925,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,14,0.6,0.80144,0.9124501179982396,0.74925,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,14,0.9,0.75626,0.9124501179982396,0.74925,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,16,0.0,0.92822,0.9278664651106424,0.75075,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,16,0.3,0.87384,0.9278664651106424,0.75075,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,16,0.6,0.81942,0.9278664651106424,0.75075,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,16,0.9,0.76348,0.9278664651106424,0.75075,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,18,0.0,0.93208,0.9318541552777778,0.7416666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,18,0.3,0.87712,0.9318541552777778,0.7416666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,18,0.6,0.8232,0.9318541552777778,0.7416666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,18,0.9,0.75768,0.9318541552777778,0.7416666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,20,0.0,0.92038,0.9200662017662994,0.7406666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,20,0.3,0.86586,0.9200662017662994,0.7406666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,20,0.6,0.80674,0.9200662017662994,0.7406666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,20,0.9,0.75106,0.9200662017662994,0.7406666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,22,0.0,0.9121,0.912281828005,0.73775,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,22,0.3,0.85622,0.912281828005,0.73775,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,22,0.6,0.80084,0.912281828005,0.73775,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,22,0.9,0.74938,0.912281828005,0.73775,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,24,0.0,0.91822,0.9178491841512839,0.7373333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,24,0.3,0.86122,0.9178491841512839,0.7373333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,24,0.6,0.80988,0.9178491841512839,0.7373333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,24,0.9,0.75174,0.9178491841512839,0.7373333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,26,0.0,0.93476,0.9343932604692929,0.7460833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,26,0.3,0.88126,0.9343932604692929,0.7460833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,26,0.6,0.82776,0.9343932604692929,0.7460833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,26,0.9,0.76448,0.9343932604692929,0.7460833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,28,0.0,0.94202,0.94251172461,0.755,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,28,0.3,0.89094,0.94251172461,0.755,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,28,0.6,0.8368,0.94251172461,0.755,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,28,0.9,0.774,0.94251172461,0.755,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,30,0.0,0.98768,0.9881894308783276,0.8924166666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,30,0.3,0.9661,0.9881894308783276,0.8924166666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,30,0.6,0.94004,0.9881894308783276,0.8924166666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,30,0.9,0.90182,0.9881894308783276,0.8924166666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,32,0.0,0.97828,0.9784837957735816,0.8435833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,32,0.3,0.94582,0.9784837957735816,0.8435833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,32,0.6,0.909,0.9784837957735816,0.8435833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,32,0.9,0.85794,0.9784837957735816,0.8435833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,34,0.0,0.98394,0.9849258475878472,0.8718333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,34,0.3,0.9588,0.9849258475878472,0.8718333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,34,0.6,0.9261,0.9849258475878472,0.8718333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,34,0.9,0.88636,0.9849258475878472,0.8718333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,36,0.0,0.99452,0.995099798106875,0.9365,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,36,0.3,0.9821,0.995099798106875,0.9365,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,36,0.6,0.96408,0.995099798106875,0.9365,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,36,0.9,0.94142,0.995099798106875,0.9365,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,38,0.0,0.99692,0.9967188030838638,0.9488333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,38,0.3,0.98632,0.9967188030838638,0.9488333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,38,0.6,0.97206,0.9967188030838638,0.9488333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,38,0.9,0.95162,0.9967188030838638,0.9488333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,40,0.0,0.99316,0.9933096283377778,0.921,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,40,0.3,0.97678,0.9933096283377778,0.921,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,40,0.6,0.95572,0.9933096283377778,0.921,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,40,0.9,0.9281,0.9933096283377778,0.921,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,42,0.0,0.9889,0.9880308063166666,0.89,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,42,0.3,0.96578,0.9880308063166666,0.89,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,42,0.6,0.93774,0.9880308063166666,0.89,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,42,0.9,0.89902,0.9880308063166666,0.89,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,44,0.0,0.9928,0.9924460359928642,0.9126666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,44,0.3,0.97528,0.9924460359928642,0.9126666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,44,0.6,0.95234,0.9924460359928642,0.9126666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,44,0.9,0.92048,0.9924460359928642,0.9126666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,46,0.0,0.99724,0.997485060171768,0.9574166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,46,0.3,0.98856,0.997485060171768,0.9574166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,46,0.6,0.97612,0.997485060171768,0.9574166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,46,0.9,0.96038,0.997485060171768,0.9574166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,48,0.0,0.99786,0.9978991560039236,0.9614166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,48,0.3,0.99056,0.9978991560039236,0.9614166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,48,0.6,0.97906,0.9978991560039236,0.9614166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,48,0.9,0.964,0.9978991560039236,0.9614166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,50,0.0,0.99674,0.9967300531314531,0.949,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,50,0.3,0.9861,0.9967300531314531,0.949,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,50,0.6,0.97268,0.9967300531314531,0.949,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,constant,50,0.9,0.9524,0.9967300531314531,0.949,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,0,0.0,0.90022,0.90104721492,0.742,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,0,0.3,0.8471,0.90104721492,0.742,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,0,0.6,0.79418,0.90104721492,0.742,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,0,0.9,0.74866,0.90104721492,0.742,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,2,0.0,0.8908,0.890772506881132,0.7426666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,2,0.3,0.83604,0.890772506881132,0.7426666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,2,0.6,0.78398,0.890772506881132,0.7426666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,2,0.9,0.7422,0.890772506881132,0.7426666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,4,0.0,0.8931,0.8943201527556481,0.7313333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,4,0.3,0.83726,0.8943201527556481,0.7313333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,4,0.6,0.78102,0.8943201527556481,0.7313333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,4,0.9,0.73522,0.8943201527556481,0.7313333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,6,0.0,0.90454,0.9056804042893889,0.728,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,6,0.3,0.84976,0.9056804042893889,0.728,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,6,0.6,0.79164,0.9056804042893889,0.728,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,6,0.9,0.73818,0.9056804042893889,0.728,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,8,0.0,0.91212,0.9126862080845467,0.7280833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,8,0.3,0.854,0.9126862080845467,0.7280833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,8,0.6,0.79988,0.9126862080845467,0.7280833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,8,0.9,0.741,0.9126862080845467,0.7280833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,10,0.0,0.8971,0.8979441050910675,0.7215833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,10,0.3,0.84058,0.8979441050910675,0.7215833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,10,0.6,0.7844,0.8979441050910675,0.7215833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,10,0.9,0.73002,0.8979441050910675,0.7215833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,12,0.0,0.88564,0.8858545233469421,0.7231666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,12,0.3,0.8274,0.8858545233469421,0.7231666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,12,0.6,0.77518,0.8858545233469421,0.7231666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,12,0.9,0.72772,0.8858545233469421,0.7231666666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,14,0.0,0.88106,0.8838406181247068,0.7098333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,14,0.3,0.82442,0.8838406181247068,0.7098333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,14,0.6,0.76896,0.8838406181247068,0.7098333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,14,0.9,0.71452,0.8838406181247068,0.7098333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,16,0.0,0.90542,0.9034506851573334,0.7093333333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,16,0.3,0.84366,0.9034506851573334,0.7093333333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,16,0.6,0.78656,0.9034506851573334,0.7093333333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,16,0.9,0.72654,0.9034506851573334,0.7093333333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,18,0.0,0.90938,0.9080801815479345,0.7045833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,18,0.3,0.84924,0.9080801815479345,0.7045833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,18,0.6,0.78782,0.9080801815479345,0.7045833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,18,0.9,0.7235,0.9080801815479345,0.7045833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,20,0.0,0.89586,0.8959024730566867,0.7069166666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,20,0.3,0.83514,0.8959024730566867,0.7069166666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,20,0.6,0.7747,0.8959024730566867,0.7069166666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,20,0.9,0.71404,0.8959024730566867,0.7069166666666666,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,22,0.0,0.88208,0.881238725473382,0.6994166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,22,0.3,0.81562,0.881238725473382,0.6994166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,22,0.6,0.7617,0.881238725473382,0.6994166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,22,0.9,0.70774,0.881238725473382,0.6994166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,24,0.0,0.88578,0.8849232181229039,0.6935833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,24,0.3,0.82424,0.8849232181229039,0.6935833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,24,0.6,0.7621,0.8849232181229039,0.6935833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,24,0.9,0.70562,0.8849232181229039,0.6935833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,26,0.0,0.90242,0.9035106938440247,0.6906666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,26,0.3,0.84124,0.9035106938440247,0.6906666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,26,0.6,0.77922,0.9035106938440247,0.6906666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,26,0.9,0.7123,0.9035106938440247,0.6906666666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,28,0.0,0.9129,0.9131191825821776,0.6965833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,28,0.3,0.8521,0.9131191825821776,0.6965833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,28,0.6,0.79108,0.9131191825821776,0.6965833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,28,0.9,0.72272,0.9131191825821776,0.6965833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,30,0.0,0.97668,0.9775376115837191,0.8455833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,30,0.3,0.94566,0.9775376115837191,0.8455833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,30,0.6,0.90798,0.9775376115837191,0.8455833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,30,0.9,0.86172,0.9775376115837191,0.8455833333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,32,0.0,0.96346,0.9631702584623554,0.7979166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,32,0.3,0.9202,0.9631702584623554,0.7979166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,32,0.6,0.87662,0.9631702584623554,0.7979166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,32,0.9,0.81648,0.9631702584623554,0.7979166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,34,0.0,0.9701,0.9706529708610416,0.823,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,34,0.3,0.93416,0.9706529708610416,0.823,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,34,0.6,0.88966,0.9706529708610416,0.823,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,34,0.9,0.8373,0.9706529708610416,0.823,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,36,0.0,0.98898,0.9885698820745937,0.90025,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,36,0.3,0.96686,0.9885698820745937,0.90025,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,36,0.6,0.94174,0.9885698820745937,0.90025,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,36,0.9,0.9091,0.9885698820745937,0.90025,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,38,0.0,0.99186,0.9918189541361946,0.9199166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,38,0.3,0.97372,0.9918189541361946,0.9199166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,38,0.6,0.9539,0.9918189541361946,0.9199166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,38,0.9,0.92554,0.9918189541361946,0.9199166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,40,0.0,0.98396,0.983878508621875,0.874,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,40,0.3,0.9595,0.983878508621875,0.874,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,40,0.6,0.92252,0.983878508621875,0.874,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,40,0.9,0.88648,0.983878508621875,0.874,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,42,0.0,0.9725,0.9719268981530864,0.8293333333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,42,0.3,0.9368,0.9719268981530864,0.8293333333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,42,0.6,0.89298,0.9719268981530864,0.8293333333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,42,0.9,0.84548,0.9719268981530864,0.8293333333333334,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,44,0.0,0.97984,0.9795691514195443,0.8579166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,44,0.3,0.94868,0.9795691514195443,0.8579166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,44,0.6,0.91396,0.9795691514195443,0.8579166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,44,0.9,0.87164,0.9795691514195443,0.8579166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,46,0.0,0.99254,0.9923108969802777,0.9233333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,46,0.3,0.975,0.9923108969802777,0.9233333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,46,0.6,0.95358,0.9923108969802777,0.9233333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,46,0.9,0.92794,0.9923108969802777,0.9233333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,48,0.0,0.99306,0.9931279516315231,0.9285833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,48,0.3,0.97688,0.9931279516315231,0.9285833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,48,0.6,0.95638,0.9931279516315231,0.9285833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,48,0.9,0.93142,0.9931279516315231,0.9285833333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,50,0.0,0.98858,0.9892252800016436,0.9063333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,50,0.3,0.96846,0.9892252800016436,0.9063333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,50,0.6,0.94352,0.9892252800016436,0.9063333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_accumulation,50,0.9,0.91512,0.9892252800016436,0.9063333333333333,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_washout,0,0.0,0.89908,0.8999125998813217,0.7394166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_washout,0,0.3,0.84426,0.8999125998813217,0.7394166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_washout,0,0.6,0.79056,0.8999125998813217,0.7394166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
extreme,fines_washout,0,0.9,0.74386,0.8999125998813217,0.7394166666666667,1.0,50000,vertical-dependence diagnostic; not calibrated random field
